CITY,PRICE,BEDS,BATHS,SQFT,PRICE/SQFT
Jamaica Plain,142500.0,2.0,1.0,968.0,147.0
Boston,614000.0,1.0,1.0,690.0,890.0
Boston,300000.0,1.0,1.0,625.0,480.0
Boston,369000.0,2.0,1.0,797.0,463.0
Boston,850000.0,5.0,3.5,2185.0,389.0
Boston,530000.0,1.0,1.0,650.0,815.0
Boston,839000.0,0.0,1.0,495.0,1695.0
Boston,324000.0,1.0,1.5,605.0,536.0
Boston,505000.0,1.0,1.0,835.0,605.0
Boston,1120000.0,9.0,3.0,3270.0,343.0
Boston,875000.0,4.0,2.0,2864.0,306.0
Boston,775000.0,4.0,1.5,1758.0,441.0
Boston,790000.0,7.0,3.0,3966.0,199.0
Boston,375000.0,2.0,1.0,686.0,547.0
Boston,575000.0,1.0,1.0,881.0,653.0
Boston,875000.0,2.0,2.0,1249.0,701.0
Boston,699900.0,1.0,1.0,722.0,969.0
Boston,1380000.0,3.0,3.5,1831.0,754.0
Boston,572000.0,1.0,1.0,619.0,924.0
Boston,1300000.0,2.0,1.0,850.0,1529.0
Boston,440000.0,2.0,1.0,1017.0,433.0
Boston,415000.0,2.0,1.0,1134.0,366.0
Boston,533000.0,3.0,1.0,1193.0,447.0
Boston,315999.0,3.0,1.5,1056.0,299.0
Boston,5200000.0,3.0,4.0,3882.0,1340.0
Boston,637000.0,1.0,1.0,670.0,951.0
Boston,325000.0,1.0,1.0,644.0,505.0
Boston,1520000.0,9.0,4.5,3693.0,412.0
Boston,1265000.0,4.0,3.5,2500.0,506.0
Boston,510000.0,1.0,1.0,507.0,1006.0
Boston,740000.0,2.0,1.5,1013.0,731.0
Boston,700000.0,2.0,2.0,889.0,787.0
Boston,467500.0,4.0,2.0,1470.0,318.0
Boston,1350000.0,1.0,1.0,691.0,1954.0
Boston,675000.0,2.0,1.0,1301.0,519.0
Boston,999900.0,2.0,2.0,902.0,1109.0
Boston,1059900.0,1.0,1.0,1077.0,984.0
Boston,1200000.0,6.0,3.0,4074.0,295.0
Boston,789900.0,1.0,1.0,647.0,1221.0
Boston,1425000.0,9.0,3.0,3990.0,357.0
Boston,900000.0,5.0,3.0,2936.0,307.0
Boston,2550000.0,3.0,2.5,1645.0,1550.0
Brookline,1225000.0,4.0,2.5,1899.0,645.0
Boston,1090000.0,2.0,2.0,1109.0,983.0
Boston,9250000.0,4.0,4.5,3545.0,2609.0
Boston,2250000.0,3.0,2.5,2205.0,1020.0
Boston,930000.0,3.0,2.0,1896.0,491.0
Boston,400000.0,1.0,1.0,680.0,588.0
Boston,395459.0,2.0,1.0,1026.0,385.0
Boston,425000.0,3.0,1.0,1076.0,395.0
Boston,1380000.0,3.0,2.5,1802.0,766.0
Boston,765000.0,3.0,1.0,1302.0,588.0
Boston,725000.0,1.0,1.5,827.0,877.0
Cambridge,3200000.0,2.0,2.0,1346.0,2377.0
Jamaica Plain,1000000.0,3.0,2.5,2311.0,433.0
Boston,799000.0,3.0,2.5,1438.0,556.0
Brighton,530000.0,3.0,2.0,1057.0,501.0
Boston,660000.0,1.0,1.0,650.0,1015.0
Boston,1610000.0,7.0,4.0,2720.0,592.0
Boston,4750000.0,3.0,3.5,2222.0,2138.0
Boston,2900000.0,2.0,2.0,1439.0,2015.0
Boston,800000.0,6.0,4.0,2973.0,269.0
Boston,1220000.0,3.0,2.0,1348.0,905.0
Boston,1500000.0,8.0,4.0,3334.0,450.0
Boston,870000.0,5.0,3.5,3000.0,290.0
Boston,1022400.0,2.0,2.0,1003.0,1019.0
Boston,1263000.0,4.0,2.0,1824.0,692.0
Boston,375000.0,2.0,1.0,778.0,482.0
Roslindale,799000.0,4.0,2.0,2322.0,344.0
Boston,1100000.0,3.0,2.0,1982.0,555.0
Boston,445000.0,2.0,1.0,703.0,633.0
Boston,589900.0,1.0,1.0,576.0,1024.0
Boston,710000.0,1.0,1.0,612.0,1160.0
Boston,1150000.0,2.0,1.0,1200.0,958.0
Boston,593000.0,1.0,1.0,542.0,1094.0
Boston,1019900.0,1.0,1.0,1077.0,947.0
Boston,540000.0,2.0,2.0,1248.0,433.0
Boston,715000.0,2.0,2.0,889.0,804.0
Boston,1250000.0,9.0,3.0,3810.0,328.0
Boston,722500.0,3.0,3.0,1754.0,412.0
Boston,990000.0,3.0,2.5,1592.0,622.0
Boston,1215000.0,3.0,2.0,3111.0,391.0
