SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-13-2023,Single Family Residential,3306 NE 110th St,Vancouver,WA,98686,650000,5,3,Salmon Creek,2647,9874,1979,,246,,Sold,,,https://www.redfin.com/WA/Vancouver/3306-NE-110th-St-98686/home/14585095,NWMLS,2020897,N,Y,45.701039,-122.6367909
PAST SALE,November-10-2022,Single Family Residential,116 W 30th St,Vancouver,WA,98660,1005000,4,3.5,Carter Park,2643,5000,2016,,380,,Sold,,,https://www.redfin.com/WA/Vancouver/116-W-30th-St-98660/home/14604577,NWMLS,1998585,N,Y,45.6434139,-122.6717499
PAST SALE,November-10-2022,Single Family Residential,4109 NE 54th St,Vancouver,WA,98661,420000,3,1,Vancouver,1224,8712,1947,,343,,Sold,,,https://www.redfin.com/WA/Vancouver/4109-NE-54th-St-98661/home/14634368,NWMLS,2000407,N,Y,45.6611415,-122.628832
PAST SALE,December-2-2022,Single Family Residential,3327 E 18th St,Vancouver,WA,98661,375000,3,2,Heights,1334,14810,1950,,281,,Sold,,,https://www.redfin.com/WA/Vancouver/3327-E-18th-St-98661/home/14640500,NWMLS,1989791,N,Y,45.6346002,-122.6354256
PAST SALE,December-16-2022,Single Family Residential,4110 E 14th St,Vancouver,WA,98661,155000,2,1,Heights,696,6409,1942,,223,,Sold,,,https://www.redfin.com/WA/Vancouver/4110-E-14th-St-98661/home/14617554,NWMLS,2016386,N,Y,45.6304533,-122.6259923
PAST SALE,January-3-2023,Single Family Residential,1804 SE 182nd Pl,Vancouver,WA,98683,475000,3,2,Vancouver,1100,5106,1996,,432,40,Sold,,,https://www.redfin.com/WA/Vancouver/1804-SE-182nd-Pl-98683/home/14583232,NWMLS,2014872,N,Y,45.6078399,-122.4861715
PAST SALE,December-14-2022,Single Family Residential,6415 Mckinley Dr,Vancouver,WA,98665,398000,3,2.5,Hazel Dell,2080,7608,1953,,191,,Sold,,,https://www.redfin.com/WA/Vancouver/6415-NW-McKinley-Dr-98665/home/14625825,NWMLS,2015955,N,Y,45.6695506,-122.6709145
PAST SALE,November-14-2022,Single Family Residential,5612 NE 75th Ave,Vancouver,WA,98662,389400,3,2.5,Orchards,1496,2251,2007,,260,,Sold,,,https://www.redfin.com/WA/Vancouver/5612-NE-75th-Ave-98662/home/14700718,NWMLS,1996513,N,Y,45.6632239,-122.5961674
PAST SALE,December-19-2022,Single Family Residential,7037 NE 55TH St,Vancouver,WA,98661,380000,3,2.5,Vancouver,1626,2296,2007,,234,16,Sold,,,https://www.redfin.com/WA/Vancouver/7037-NE-55th-St-98661/home/14698675,NWMLS,2000457,N,Y,45.6619645,-122.6002312
PAST SALE,December-15-2022,Single Family Residential,114 W 36th St,Vancouver,WA,98660,925000,4,3,Carter Park,2664,5000,1925,,347,,Sold,,,https://www.redfin.com/WA/Vancouver/114-W-36th-St-98660/home/14666018,NWMLS,2014833,N,Y,45.64793,-122.6715007
