CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,PRICE/SQFT
Richmond,384900.0,4.0,2.0,Lakes Of Bella Terra Sec 37 Rep 1,2149.0,2017.0,179.0
Houston,750000.0,4.0,3.0,Stillwater/lk Houston Sec 3,4664.0,2017.0,161.0
Houston,549900.0,3.0,2.0,Cottage Grove Sec 3,2614.0,2017.0,210.0
Houston,230000.0,4.0,2.0,Clear Lake City Core D Sec 01,1600.0,1967.0,144.0
Houston,200700.0,2.0,2.0,Briar Lea,1434.0,1977.0,140.0
Houston,175000.0,4.0,2.0,Greenbriar Colony T/h,1425.0,2002.0,123.0
Houston,285000.0,4.0,2.0,Bear Creek Village,1916.0,1978.0,149.0
Houston,159999.0,2.0,2.0,Kings Village T H Condo 02 Am,1102.0,1964.0,145.0
Houston,299900.0,4.0,2.0,Sommerall West Sec 01,1943.0,1988.0,154.0
Houston,465000.0,4.0,2.0,Maplewood South,2298.0,1964.0,202.0
Katy,698000.0,4.0,3.0,Cinco Ranch Southwest,3363.0,2012.0,208.0
Houston,225000.0,4.0,2.0,Golf Green Garden Homes 02 Amd,2078.0,1998.0,108.0
Houston,205000.0,2.0,1.0,Park Regency Condo,1152.0,1983.0,178.0
Webster,259000.0,3.0,2.0,Heritage Park Sec 05,1653.0,1978.0,157.0
Houston,309000.0,3.0,2.0,Pinemont Park,1802.0,2012.0,171.0
Houston,220000.0,4.0,2.0,Inwood North,1762.0,1978.0,125.0
Houston,295000.0,3.0,1.0,Shepherd Forest,1296.0,1955.0,228.0
Houston,250500.0,3.0,2.0,Woodland Oaks Sec 03,1107.0,1982.0,226.0
Houston,299900.0,4.0,2.0,Eldridge Park,2162.0,1996.0,139.0
Houston,275000.0,3.0,2.0,Reservoir Acres,1658.0,1960.0,166.0
Houston,200000.0,4.0,2.0,Silverleaf Sec 1,1487.0,2013.0,134.0
West University Place,3499000.0,5.0,6.0,West University Place Sec 01,6518.0,2007.0,537.0
Houston,149000.0,1.0,1.0,Stoney Brook T/h Condo,826.0,1968.0,180.0
Houston,216000.0,3.0,1.0,Crestmont Sec 03,1200.0,1952.0,180.0
Cypress,289000.0,4.0,2.0,Cypress Spgs Sec 4,2372.0,2005.0,122.0
Bunker Hill Village,1350000.0,4.0,3.0,Chapelwood,3319.0,1960.0,407.0
Houston,765000.0,4.0,2.0,Wilchester West,2467.0,1965.0,310.0
Houston,395000.0,3.0,2.0,Holly Oaks,1800.0,1965.0,219.0
